National Banks Active As of 4/30/2025,,,,,,,
,,,,,,,
,,,,,,,
CHARTER NO,NAME,ADDRESS (LOC),CITY,STATE,CERT,RSSD,
8709,1st National Bank,1000 East Main Street,Lebanon,OH,6646,480723,
15592,"Academy Bank, National Association",1201 Walnut Street,Kansas City,MO,19600,535753,
25173,"ADP Trust Company, National Association","800 Delaware Avenue, Suite 602",Wilmington,DE,59194,5397639,
25307,"Affinity Bank, National Association",3175 Highway 278,Covington,GA,29510,321273,
25225,"Agility Bank, National Association",2401 N. Shepherd,Houston,TX,59239,5728916,
14688,Albany Bank and Trust Company National Association,3400 West Lawrence Avenue,Chicago,IL,17230,2732,
13790,"Alerus Financial, National Association",401 Demers Avenue,Grand Forks,ND,3931,933256,
14206,Amarillo National Bank,"400 South Taylor, Plaza One",Amarillo,TX,14531,353555,
16804,"Amerant Bank, National Association",220 Alhambra Circle,Coral Gables,FL,22953,83638,
24369,"American Bank and Trust Company, National Association",4301 East 53rd Street,Davenport,IA,34955,2733263,
22286,"American Bank, National Association",234 Fifth Avenue S.W.,Lemars,IA,5800,345345,
15820,"American Bank, National Association",100 American Bank Plaza,Corpus Christi,TX,20241,807955,
16320,"American Bank, National Association",2707 West Northwest Highway,Dallas,TX,21567,494654,
17319,"American Bank, National Association",200 West Highway 6,Waco,TX,23886,307361,
24456,"American Commerce Bank, National Association",400 Highway 27 North Bypass,Bremen,GA,57686,3272956,
1154,"American Commercial Bank & Trust, National Association",701-705 LA Salle Street,Ottawa,IL,3719,856243,
25151,American Express National Bank,115 West Towne Ridge Parkway,Sandy,UT,27471,1394676,
23521,American First National Bank,9999 Bellaire Boulevard,Houston,TX,34656,2694681,
15037,American Heritage National Bank,24 2nd Street South,Long Prairie,MN,8843,61757,
18613,American National Bank,4301 North Federal Highway,Oakland Park,FL,26398,481430,
15435,American National Bank,8990 West Dodge Road,Omaha,NE,19300,660655,
22553,American National Bank - Fox Cities,2200 N. Richmond Street,Appleton,WI,33812,2051127,
16617,American National Bank & Trust,2732 Midwestern Parkway,Wichita Falls,TX,22373,498362,
24219,American National Bank of Minnesota,7638 Woida Road,Baxter,MN,26499,306159,
24716,"American Plus Bank, National Association",630 West Duarte Road,Arcadia,CA,58469,3623110,
24182,AMG National Trust Bank,"1155 Canyon Boulevard, Suite 310",Boulder,CO,57295,3015939,
16625,Anahuac National Bank,801 S. Ross Sterling,Anahuac,TX,22381,424352,
25243,Anchorage Digital Bank National Association,"101 S. Reid Street, Suite 329",Sioux Falls,SD,59276,5561001,
5525,Anna-Jonesboro National Bank,201 S. Main,Anna,IL,3759,855844,
8796,"Armed Forces Bank, National Association",320 Kansas Avenue,Ft. Leavenworth,KS,4666,983457,
7699,Arrow Bank National Association,250 Glen Street,Glens Falls,NY,7074,866000,
23006,Asian Pacific National Bank,333 West Valley Boulevard,San Gabriel,CA,33013,1462986,
23695,"Associated Bank, National Association",200 North Adams Street,Green Bay,WI,5296,917742,
23250,"Associated Trust Company, National Association",815 North Water Street,Milwaukee,WI,27102,1629903,
5581,"Austin Bank, Texas National Association",200 East Commerce Street,Jacksonville,TX,3276,548351,
25139,"Axiom Bank, National Association","258 Southhall Lane, Suite 400",Maitland,FL,31390,408875,
11622,B2 Bank National Association,"8355 Unity Drive, Suite 400",Mt. Iron,MN,5105,108652,
3956,Baker Boyer National Bank,7 West Main Street,Walla Walla,WA,2987,69678,
1253,Ballston Spa National Bank,87 Front Street,Ballston Spa,NY,6959,505,
12152,"BancCentral, National Association",604 Flynn Street,Alva,OK,4033,251352,
4975,"Bank First, National Association",402 North 8th Street,Manitowoc,WI,5304,594947,
24077,"Bank of America California, National Association",555 California Street,San Francisco,CA,25178,1443266,
13044,"Bank of America, National Association","100 North Tryon Street, Suite 170",Charlotte,NC,3510,480228,
24153,"Bank of Brenham, National Association",501 S. Austin Street,Brenham,TX,57102,3042234,
10844,"Bank of Bridger, National Association",101 S. Main Street,Bridger,MT,2224,17950,
16976,"Bank of Brookfield-Purdin, National Association",939 Park Circle Drive,Brookfield,MO,9385,236256,
20415,Bank of Desoto National Association,2011 N. Hampton Road,Desoto,TX,26542,638355,
14510,"Bank of Hillsboro, National Association",230 South Main,Hillsboro,IL,16276,659341,
17548,"Bank of Whittier, National Association",15141 East Whittier Boulevard,Whittier,CA,24211,209362,
16643,"BankChampaign, National Association",2101 South Neil,Champaign,IL,22434,436739,
25140,"BankFinancial, National Association",21110 South Western Avenue,Olympia Fields,IL,28808,454676,
25028,"BankUnited, National Association",14817 Oak Lane,Miami Lakes,FL,58979,3938186,
23216,"Barrington Bank & Trust Company, National Association",201 South Hough Street,Barrington,IL,34395,2508751,
25276,BayFirst National Bank,700 Central Avenue,St. Petersburg,FL,34997,2771694,
18358,"Beacon Business Bank, National Association",425 California Street,San Francisco,CA,25644,403067,
23869,"Bessemer Trust Company of California, National Association",101 California Street,San Francisco,CA,35413,2845782,
