Name,Category,Headquarters
Bank of Palestine,Local Commercial,Ramallah
Palestine Islamic Bank,Local Islamic,Ramallah
Palestine Investment Bank,Local Commercial,Ramallah
Al Quds Bank,Local Commercial,Ramallah
The National Bank (TNB),Local Commercial,Ramallah
Safa Bank,Local Islamic,Ramallah
Arab Bank,Foreign (Jordanian),Ramallah
Cairo Amman Bank,Foreign (Jordanian),Ramallah
Bank of Jordan,Foreign (Jordanian),Ramallah
Housing Bank,Foreign (Jordanian),Ramallah
Egyptian Arab Land Bank,Foreign (Egyptian),Ramallah
Jordan Ahli Bank,Foreign (Jordanian),Ramallah
Commercial Bank of Jordan,Foreign (Jordanian),Ramallah
Jordan Kuwait Bank,Foreign (Jordanian),Ramallah
The National Christian Bank,Local Commercial,Ramallah
Al-Aqsa Islamic Bank,Defunct Islamic, (license revoked 2010)
HSBC Bank Middle East,Foreign (International),Ramallah
