Trust Banks Active As of 4/30/2025,,,,,,
,,,,,,
,,,,,,
CHARTER NO,NAME,ADDRESS (LOC),CITY,STATE,CERT,RSSD
25173,"ADP Trust Company, National Association","800 Delaware Avenue, Suite 602",Wilmington,DE,59194,5397639
25243,Anchorage Digital Bank National Association,"101 S. Reid Street, Suite 329",Sioux Falls,SD,59276,5561001
23250,"Associated Trust Company, National Association",815 North Water Street,Milwaukee,WI,27102,1629903
23869,"Bessemer Trust Company of California, National Association",101 California Street,San Francisco,CA,35413,2845782
24547,"Bessemer Trust Company of Delaware, National Association",20 Montchanin Road,Wilmington,DE,58011,3310287
25287,"Bessemer Trust Company of Nevada, National Association",1700 South Pavilion Center Drive,Las Vegas,NV,59346,5805479
22121,"BlackRock Institutional Trust Company, National Association",400 Howard Street,San Francisco,CA,32961,1444021
24944,"Brown Brothers Harriman Trust Company of Delaware, NA",4250 Lancaster Pike,Wilmington,DE,59025,4032791
24429,"Brown Brothers Harriman Trust Company, National Association",140 Broadway,New York,NY,25824,931207
24936,Canandaigua National Trust Company of Florida,1586 Main Street,Sarasota,FL,58999,3952904
24310,"Cetera Trust Company, National Association",400 Robert Street North,St. Paul,MN,57405,3089752
25215,"Chilton Trust Company, National Association",396 Royal Palm Way,Palm Beach,FL,59255,4397164
24106,CIBC National Trust Company,"3290 Northside Parkway, 7th Floor",Atlanta,GA,91325,975751
18410,"Citicorp Trust Delaware, National Association","20 Montchanin Road, Suite 180",Greenville,DE,25677,449038
23148,"Computershare Trust Company, National Association",150 Royall Street,Canton,MA,34629,2600039
25237,Dayforce National Trust Bank,3311 East Old Shakopee Road,Minneapolis,MN,59337,5805817
18608,Deutsche Bank National Trust Company,1999 Avenue of the Stars,Los Angeles,CA,26732,670560
24452,"Deutsche Bank Trust Company, National Association",1 Columbus Circle,New York,NY,34056,2325882
24907,"Evercore Trust Company, National Association","300 Delaware Avenue, Suite 1225",Wilmington,DE,58927,3939240
24120,"First Community Trust, National Association","3385 Hillcrest Road, Suite 100",Dubuque,IA,57179,2973041
21882,"First Financial Trust, National Association",351 Main Street,Wakefield,MA,27479,1369870
24475,First National Trust Company,One F.N.B. Boulevard,Hermitage,PA,57793,3229875
25304,"FundBank, National Association","301 Congress Avenue, Suite 1725",Austin,TX,59366,6009630
25332,Greenleaf Trust National Association,211 S. Rose Street,Kalamazoo,MI,34935,2938787
25255,"Hightower Trust Company, National Association","4400 Post Oak Parkway, Suite 2600",Houston,TX,59321,2597232
25275,"Inspire Trust Company, National Association",241 Ridge Street,Reno,NV,59349,5805488
25051,Key National Trust Company of Delaware,1105 North Market Street,Wilmington,DE,59069,4368351
